"service_id","date","exception_type"
"1_平日","20200723","2"
"1_日祝","20200723","1"
"1_平日","20200724","2"
"1_日祝","20200724","1"
"1_平日","20200810","2"
"1_日祝","20200810","1"
"1_平日","20200813","2"
"1_日祝","20200813","1"
"1_平日","20200814","2"
"1_日祝","20200814","1"
"1_平日","20200921","2"
"1_日祝","20200921","1"
"1_平日","20200922","2"
"1_日祝","20200922","1"
"1_平日","20201103","2"
"1_日祝","20201103","1"
"1_平日","20201123","2"
"1_日祝","20201123","1"
"1_平日","20201229","2"
"1_日祝","20201229","1"
"1_平日","20201230","2"
"1_日祝","20201230","1"
"1_平日","20201231","2"
"1_土曜","20201231","2"
"1_日祝","20201231","2"
"1_年末・年始","20201231","1"
"1_平日","20210101","2"
"1_土曜","20210101","2"
"1_日祝","20210101","2"
"1_年末・年始","20210101","1"
"1_平日","20210102","2"
"1_土曜","20210102","2"
"1_日祝","20210102","2"
"1_年末・年始","20210102","1"
"1_平日","20210103","2"
"1_土曜","20210103","2"
"1_日祝","20210103","2"
"1_年末・年始","20210103","1"
"1_平日","20210111","2"
"1_日祝","20210111","1"
"1_平日","20210211","2"
"1_日祝","20210211","1"
"1_平日","20210223","2"
"1_日祝","20210223","1"
"1_土曜","20210320","2"
"1_日祝","20210320","1"
"1_平日","20210429","2"
"1_日祝","20210429","1"
"1_平日","20210503","2"
"1_日祝","20210503","1"
"1_平日","20210504","2"
"1_日祝","20210504","1"
"1_平日","20210505","2"
"1_日祝","20210505","1"
"3_平日","20200723","2"
"3_日祝","20200723","1"
"3_平日","20200724","2"
"3_日祝","20200724","1"
"3_平日","20200810","2"
"3_日祝","20200810","1"
"3_平日","20200813","2"
"3_日祝","20200813","1"
"3_平日","20200814","2"
"3_日祝","20200814","1"
"3_土曜","20200815","2"
"3_日祝","20200815","1"
"3_平日","20200921","2"
"3_日祝","20200921","1"
"3_平日","20200922","2"
"3_日祝","20200922","1"
"3_平日","20201103","2"
"3_日祝","20201103","1"
"3_平日","20201123","2"
"3_日祝","20201123","1"
"3_平日","20201230","2"
"3_日祝","20201230","1"
"3_平日","20201231","2"
"3_日祝","20201231","1"
"3_平日","20210101","2"
"3_日祝","20210101","1"
"3_土曜","20210102","2"
"3_日祝","20210102","1"
"3_平日","20210111","2"
"3_日祝","20210111","1"
"3_平日","20210211","2"
"3_日祝","20210211","1"
"3_平日","20210223","2"
"3_日祝","20210223","1"
"3_土曜","20210320","2"
"3_日祝","20210320","1"
"3_平日","20210429","2"
"3_日祝","20210429","1"
"3_平日","20210503","2"
"3_日祝","20210503","1"
"3_平日","20210504","2"
"3_日祝","20210504","1"
"3_平日","20210505","2"
"3_日祝","20210505","1"
"3_☆","20200605","1"
"3_☆","20200608","1"
"3_☆","20200609","1"
"3_☆","20200610","1"
"3_☆","20200611","1"
"3_☆","20200612","1"
"3_☆","20200615","1"
"3_☆","20200616","1"
"3_☆","20200617","1"
"3_☆","20200618","1"
"3_☆","20200619","1"
"3_☆","20200622","1"
"3_☆","20200623","1"
"3_☆","20200624","1"
"3_☆","20200625","1"
"3_☆","20200626","1"
"3_☆","20200629","1"
"3_☆","20200630","1"
"3_☆","20200701","1"
"3_☆","20200702","1"
"3_☆","20200703","1"
"3_☆","20200706","1"
"3_☆","20200707","1"
"3_☆","20200708","1"
"3_☆","20200709","1"
"3_☆","20200710","1"
"3_☆","20200713","1"
"3_☆","20200714","1"
"3_☆","20200715","1"
"3_☆","20200716","1"
"3_☆","20200717","1"
"3_☆","20200720","1"
"3_☆","20200721","1"
"3_☆","20200722","1"
"3_☆","20200727","1"
"3_☆","20200728","1"
"3_☆","20200729","1"
"3_☆","20200730","1"
"3_☆","20200731","1"
"3_☆","20201001","1"
"3_☆","20201002","1"
"3_☆","20201005","1"
"3_☆","20201006","1"
"3_☆","20201007","1"
"3_☆","20201008","1"
"3_☆","20201009","1"
"3_☆","20201012","1"
"3_☆","20201013","1"
"3_☆","20201014","1"
"3_☆","20201015","1"
"3_☆","20201016","1"
"3_☆","20201019","1"
"3_☆","20201020","1"
"3_☆","20201021","1"
"3_☆","20201022","1"
"3_☆","20201023","1"
"3_☆","20201026","1"
"3_☆","20201027","1"
"3_☆","20201028","1"
"3_☆","20201029","1"
"3_☆","20201030","1"
"3_☆","20201102","1"
"3_☆","20201104","1"
"3_☆","20201105","1"
"3_☆","20201106","1"
"3_☆","20201109","1"
"3_☆","20201110","1"
"3_☆","20201111","1"
"3_☆","20201112","1"
"3_☆","20201113","1"
"3_☆","20201116","1"
"3_☆","20201117","1"
"3_☆","20201118","1"
"3_☆","20201119","1"
"3_☆","20201120","1"
"3_☆","20201124","1"
"3_☆","20201125","1"
"3_☆","20201126","1"
"3_☆","20201127","1"
"3_☆","20201130","1"
"3_☆","20201201","1"
"3_☆","20201202","1"
"3_☆","20201203","1"
"3_☆","20201204","1"
"3_☆","20201207","1"
"3_☆","20201208","1"
"3_☆","20201209","1"
"3_☆","20201210","1"
"3_☆","20201211","1"
"3_☆","20201214","1"
"3_☆","20201215","1"
"3_☆","20201216","1"
"3_☆","20201217","1"
"3_☆","20201218","1"
"3_☆","20201221","1"
"3_☆","20201222","1"
"3_☆","20201223","1"
"3_☆","20201224","1"
"3_☆","20201225","1"
"3_☆","20201228","1"
"3_☆","20201229","1"
"3_☆","20210104","1"
"3_☆","20210105","1"
"3_☆","20210106","1"
"3_☆","20210107","1"
"3_☆","20210108","1"
"3_☆","20210112","1"
"3_☆","20210113","1"
"3_☆","20210114","1"
"3_☆","20210115","1"
"3_☆","20210118","1"
"3_☆","20210119","1"
"3_☆","20210120","1"
"3_☆","20210121","1"
"3_☆","20210122","1"
"3_☆","20210125","1"
"3_☆","20210126","1"
"3_☆","20210127","1"
"3_☆","20210128","1"
"3_☆","20210129","1"
"3_☆","20210201","1"
"3_☆","20210202","1"
"3_☆","20210203","1"
"3_☆","20210204","1"
"3_☆","20210205","1"
"3_☆","20210208","1"
"3_☆","20210209","1"
"3_☆","20210210","1"
"3_☆","20210212","1"
"3_☆","20210215","1"
"3_☆","20210216","1"
"3_☆","20210217","1"
"3_☆","20210218","1"
"3_☆","20210219","1"
"3_☆","20210222","1"
"3_☆","20210224","1"
"3_☆","20210225","1"
"3_☆","20210226","1"
"3_☆","20210401","1"
"3_☆","20210402","1"
"3_☆","20210405","1"
"3_☆","20210406","1"
"3_☆","20210407","1"
"3_☆","20210408","1"
"3_☆","20210409","1"
"3_☆","20210412","1"
"3_☆","20210413","1"
"3_☆","20210414","1"
"3_☆","20210415","1"
"3_☆","20210416","1"
"3_☆","20210419","1"
"3_☆","20210420","1"
"3_☆","20210421","1"
"3_☆","20210422","1"
"3_☆","20210423","1"
"3_☆","20210426","1"
"3_☆","20210427","1"
"3_☆","20210428","1"
"3_☆","20210430","1"
"3_☆","20210506","1"
"3_☆","20210507","1"
"3_☆","20210510","1"
"3_☆","20210511","1"
"3_☆","20210512","1"
"3_☆","20210513","1"
"3_☆","20210514","1"
"3_☆","20210517","1"
"3_☆","20210518","1"
"3_☆","20210519","1"
"3_☆","20210520","1"
"3_☆","20210521","1"
"3_☆","20210524","1"
"3_☆","20210525","1"
"3_☆","20210526","1"
"3_☆","20210527","1"
"3_☆","20210528","1"
"3_☆","20210531","1"
"3_☆","20210601","1"
"3_☆","20210602","1"
"3_☆","20210603","1"
"3_☆","20210604","1"
"3_火木土","20200606","1"
"3_火木土","20200609","1"
"3_火木土","20200611","1"
"3_火木土","20200613","1"
"3_火木土","20200616","1"
"3_火木土","20200618","1"
"3_火木土","20200620","1"
"3_火木土","20200623","1"
"3_火木土","20200625","1"
"3_火木土","20200627","1"
"3_火木土","20200630","1"
"3_火木土","20200702","1"
"3_火木土","20200704","1"
"3_火木土","20200707","1"
"3_火木土","20200709","1"
"3_火木土","20200711","1"
"3_火木土","20200714","1"
"3_火木土","20200716","1"
"3_火木土","20200718","1"
"3_火木土","20200721","1"
"3_火木土","20200725","1"
"3_火木土","20200728","1"
"3_火木土","20200730","1"
"3_火木土","20200801","1"
"3_火木土","20200804","1"
"3_火木土","20200806","1"
"3_火木土","20200808","1"
"3_火木土","20200811","1"
"3_火木土","20200818","1"
"3_火木土","20200820","1"
"3_火木土","20200822","1"
"3_火木土","20200825","1"
"3_火木土","20200827","1"
"3_火木土","20200829","1"
"3_火木土","20200901","1"
"3_火木土","20200903","1"
"3_火木土","20200905","1"
"3_火木土","20200908","1"
"3_火木土","20200910","1"
"3_火木土","20200912","1"
"3_火木土","20200915","1"
"3_火木土","20200917","1"
"3_火木土","20200919","1"
"3_火木土","20200924","1"
"3_火木土","20200926","1"
"3_火木土","20200929","1"
"3_火木土","20201001","1"
"3_火木土","20201003","1"
"3_火木土","20201006","1"
"3_火木土","20201008","1"
"3_火木土","20201010","1"
"3_火木土","20201013","1"
"3_火木土","20201015","1"
"3_火木土","20201017","1"
"3_火木土","20201020","1"
"3_火木土","20201022","1"
"3_火木土","20201024","1"
"3_火木土","20201027","1"
"3_火木土","20201029","1"
"3_火木土","20201031","1"
"3_火木土","20201105","1"
"3_火木土","20201107","1"
"3_火木土","20201110","1"
"3_火木土","20201112","1"
"3_火木土","20201114","1"
"3_火木土","20201117","1"
"3_火木土","20201119","1"
"3_火木土","20201121","1"
"3_火木土","20201124","1"
"3_火木土","20201126","1"
"3_火木土","20201128","1"
"3_火木土","20201201","1"
"3_火木土","20201203","1"
"3_火木土","20201205","1"
"3_火木土","20201208","1"
"3_火木土","20201210","1"
"3_火木土","20201212","1"
"3_火木土","20201215","1"
"3_火木土","20201217","1"
"3_火木土","20201219","1"
"3_火木土","20201222","1"
"3_火木土","20201224","1"
"3_火木土","20201226","1"
"3_火木土","20201229","1"
"3_火木土","20210105","1"
"3_火木土","20210107","1"
"3_火木土","20210109","1"
"3_火木土","20210112","1"
"3_火木土","20210114","1"
"3_火木土","20210116","1"
"3_火木土","20210119","1"
"3_火木土","20210121","1"
"3_火木土","20210123","1"
"3_火木土","20210126","1"
"3_火木土","20210128","1"
"3_火木土","20210130","1"
"3_火木土","20210202","1"
"3_火木土","20210204","1"
"3_火木土","20210206","1"
"3_火木土","20210209","1"
"3_火木土","20210213","1"
"3_火木土","20210216","1"
"3_火木土","20210218","1"
"3_火木土","20210220","1"
"3_火木土","20210225","1"
"3_火木土","20210227","1"
"3_火木土","20210302","1"
"3_火木土","20210304","1"
"3_火木土","20210306","1"
"3_火木土","20210309","1"
"3_火木土","20210311","1"
"3_火木土","20210313","1"
"3_火木土","20210316","1"
"3_火木土","20210318","1"
"3_火木土","20210323","1"
"3_火木土","20210325","1"
"3_火木土","20210327","1"
"3_火木土","20210330","1"
"3_火木土","20210401","1"
"3_火木土","20210403","1"
"3_火木土","20210406","1"
"3_火木土","20210408","1"
"3_火木土","20210410","1"
"3_火木土","20210413","1"
"3_火木土","20210415","1"
"3_火木土","20210417","1"
"3_火木土","20210420","1"
"3_火木土","20210422","1"
"3_火木土","20210424","1"
"3_火木土","20210427","1"
"3_火木土","20210501","1"
"3_火木土","20210506","1"
"3_火木土","20210508","1"
"3_火木土","20210511","1"
"3_火木土","20210513","1"
"3_火木土","20210515","1"
"3_火木土","20210518","1"
"3_火木土","20210520","1"
"3_火木土","20210522","1"
"3_火木土","20210525","1"
"3_火木土","20210527","1"
"3_火木土","20210529","1"
"3_火木土","20210601","1"
"3_火木土","20210603","1"
"3_月水金","20200605","1"
"3_月水金","20200608","1"
"3_月水金","20200610","1"
"3_月水金","20200612","1"
"3_月水金","20200615","1"
"3_月水金","20200617","1"
"3_月水金","20200619","1"
"3_月水金","20200622","1"
"3_月水金","20200624","1"
"3_月水金","20200626","1"
"3_月水金","20200629","1"
"3_月水金","20200701","1"
"3_月水金","20200703","1"
"3_月水金","20200706","1"
"3_月水金","20200708","1"
"3_月水金","20200710","1"
"3_月水金","20200713","1"
"3_月水金","20200715","1"
"3_月水金","20200717","1"
"3_月水金","20200720","1"
"3_月水金","20200722","1"
"3_月水金","20200727","1"
"3_月水金","20200729","1"
"3_月水金","20200731","1"
"3_月水金","20200803","1"
"3_月水金","20200805","1"
"3_月水金","20200807","1"
"3_月水金","20200812","1"
"3_月水金","20200817","1"
"3_月水金","20200819","1"
"3_月水金","20200821","1"
"3_月水金","20200824","1"
"3_月水金","20200826","1"
"3_月水金","20200828","1"
"3_月水金","20200831","1"
"3_月水金","20200902","1"
"3_月水金","20200904","1"
"3_月水金","20200907","1"
"3_月水金","20200909","1"
"3_月水金","20200911","1"
"3_月水金","20200914","1"
"3_月水金","20200916","1"
"3_月水金","20200918","1"
"3_月水金","20200923","1"
"3_月水金","20200925","1"
"3_月水金","20200928","1"
"3_月水金","20200930","1"
"3_月水金","20201002","1"
"3_月水金","20201005","1"
"3_月水金","20201007","1"
"3_月水金","20201009","1"
"3_月水金","20201012","1"
"3_月水金","20201014","1"
"3_月水金","20201016","1"
"3_月水金","20201019","1"
"3_月水金","20201021","1"
"3_月水金","20201023","1"
"3_月水金","20201026","1"
"3_月水金","20201028","1"
"3_月水金","20201030","1"
"3_月水金","20201102","1"
"3_月水金","20201104","1"
"3_月水金","20201106","1"
"3_月水金","20201109","1"
"3_月水金","20201111","1"
"3_月水金","20201113","1"
"3_月水金","20201116","1"
"3_月水金","20201118","1"
"3_月水金","20201120","1"
"3_月水金","20201125","1"
"3_月水金","20201127","1"
"3_月水金","20201130","1"
"3_月水金","20201202","1"
"3_月水金","20201204","1"
"3_月水金","20201207","1"
"3_月水金","20201209","1"
"3_月水金","20201211","1"
"3_月水金","20201214","1"
"3_月水金","20201216","1"
"3_月水金","20201218","1"
"3_月水金","20201221","1"
"3_月水金","20201223","1"
"3_月水金","20201225","1"
"3_月水金","20201228","1"
"3_月水金","20210104","1"
"3_月水金","20210106","1"
"3_月水金","20210108","1"
"3_月水金","20210113","1"
"3_月水金","20210115","1"
"3_月水金","20210118","1"
"3_月水金","20210120","1"
"3_月水金","20210122","1"
"3_月水金","20210125","1"
"3_月水金","20210127","1"
"3_月水金","20210129","1"
"3_月水金","20210201","1"
"3_月水金","20210203","1"
"3_月水金","20210205","1"
"3_月水金","20210208","1"
"3_月水金","20210210","1"
"3_月水金","20210212","1"
"3_月水金","20210215","1"
"3_月水金","20210217","1"
"3_月水金","20210219","1"
"3_月水金","20210222","1"
"3_月水金","20210224","1"
"3_月水金","20210226","1"
"3_月水金","20210301","1"
"3_月水金","20210303","1"
"3_月水金","20210305","1"
"3_月水金","20210308","1"
"3_月水金","20210310","1"
"3_月水金","20210312","1"
"3_月水金","20210315","1"
"3_月水金","20210317","1"
"3_月水金","20210319","1"
"3_月水金","20210322","1"
"3_月水金","20210324","1"
"3_月水金","20210326","1"
"3_月水金","20210329","1"
"3_月水金","20210331","1"
"3_月水金","20210402","1"
"3_月水金","20210405","1"
"3_月水金","20210407","1"
"3_月水金","20210409","1"
"3_月水金","20210412","1"
"3_月水金","20210414","1"
"3_月水金","20210416","1"
"3_月水金","20210419","1"
"3_月水金","20210421","1"
"3_月水金","20210423","1"
"3_月水金","20210426","1"
"3_月水金","20210428","1"
"3_月水金","20210430","1"
"3_月水金","20210507","1"
"3_月水金","20210510","1"
"3_月水金","20210512","1"
"3_月水金","20210514","1"
"3_月水金","20210517","1"
"3_月水金","20210519","1"
"3_月水金","20210521","1"
"3_月水金","20210524","1"
"3_月水金","20210526","1"
"3_月水金","20210528","1"
"3_月水金","20210531","1"
