"service_id","date","exception_type"
"3_火木土","20230119","1"
"3_火木土","20230121","1"
"3_火木土","20230124","1"
"3_火木土","20230126","1"
"3_火木土","20230128","1"
"3_火木土","20230131","1"
"3_火木土","20230202","1"
"3_火木土","20230204","1"
"3_火木土","20230207","1"
"3_火木土","20230209","1"
"3_火木土","20230214","1"
"3_火木土","20230216","1"
"3_火木土","20230218","1"
"3_火木土","20230221","1"
"3_火木土","20230225","1"
"3_火木土","20230228","1"
"3_火木土","20230302","1"
"3_火木土","20230304","1"
"3_火木土","20230307","1"
"3_火木土","20230309","1"
"3_火木土","20230311","1"
"3_火木土","20230314","1"
"3_火木土","20230316","1"
"3_火木土","20230318","1"
"3_火木土","20230323","1"
"3_火木土","20230325","1"
"3_火木土","20230328","1"
"3_火木土","20230330","1"
"3_月水金","20220401","1"
"3_月水金","20220404","1"
"3_月水金","20220406","1"
"3_月水金","20220408","1"
"3_月水金","20220411","1"
"3_月水金","20220413","1"
"3_月水金","20220415","1"
"3_月水金","20220418","1"
"3_月水金","20220420","1"
"3_月水金","20220422","1"
"3_月水金","20220425","1"
"3_月水金","20220427","1"
"3_月水金","20220502","1"
"3_月水金","20220506","1"
"3_月水金","20220509","1"
"3_月水金","20220511","1"
"3_月水金","20220513","1"
"3_月水金","20220516","1"
"3_月水金","20220518","1"
"3_月水金","20220520","1"
"3_月水金","20220523","1"
"3_月水金","20220525","1"
"3_月水金","20220527","1"
"3_月水金","20220530","1"
"3_月水金","20220601","1"
"3_月水金","20220603","1"
"3_月水金","20220606","1"
"3_月水金","20220608","1"
"3_月水金","20220610","1"
"3_月水金","20220613","1"
"3_月水金","20220615","1"
"3_月水金","20220617","1"
"3_月水金","20220620","1"
"3_月水金","20220622","1"
"3_月水金","20220624","1"
"3_月水金","20220627","1"
"3_月水金","20220629","1"
"3_月水金","20220701","1"
"3_月水金","20220704","1"
"3_月水金","20220706","1"
"3_月水金","20220708","1"
"3_月水金","20220711","1"
"3_月水金","20220713","1"
"3_月水金","20220715","1"
"3_月水金","20220720","1"
"3_月水金","20220722","1"
"3_月水金","20220725","1"
"3_月水金","20220727","1"
"3_月水金","20220729","1"
"3_月水金","20220801","1"
"3_月水金","20220803","1"
"3_月水金","20220805","1"
"3_月水金","20220808","1"
"3_月水金","20220810","1"
"3_月水金","20220812","1"
"3_月水金","20220817","1"
"3_月水金","20220819","1"
"3_月水金","20220822","1"
"3_月水金","20220824","1"
"3_月水金","20220826","1"
"3_月水金","20220829","1"
"3_月水金","20220831","1"
"3_月水金","20220902","1"
"3_月水金","20220905","1"
"3_月水金","20220907","1"
"3_月水金","20220909","1"
"3_月水金","20220912","1"
"3_月水金","20220914","1"
"3_月水金","20220916","1"
"3_月水金","20220921","1"
"3_月水金","20220926","1"
"3_月水金","20220928","1"
"3_月水金","20220930","1"
"3_月水金","20221003","1"
"3_月水金","20221005","1"
