"service_id","date","exception_type"
"1_平日","20240715","2"
"1_土日祝","20240715","1"
"1_平日","20240812","2"
"1_土日祝","20240812","1"
"1_平日","20240813","2"
"1_土日祝","20240813","1"
"1_平日","20240814","2"
"1_土日祝","20240814","1"
"1_平日","20240815","2"
"1_土日祝","20240815","1"
"1_木・日のみ運行","20240704","1"
"1_木・日のみ運行","20240707","1"
"1_木・日のみ運行","20240711","1"
"1_木・日のみ運行","20240714","1"
"1_木・日のみ運行","20240718","1"
"1_木・日のみ運行","20240721","1"
"1_木・日のみ運行","20240725","1"
"1_木・日のみ運行","20240728","1"
"1_木・日のみ運行","20240801","1"
"1_木・日のみ運行","20240804","1"
"1_木・日のみ運行","20240808","1"
"1_木・日のみ運行","20240811","1"
"1_木・日のみ運行","20240815","1"
"1_木・日のみ運行","20240818","1"
"1_木・日のみ運行","20240822","1"
"1_木・日のみ運行","20240825","1"
"1_木・日のみ運行","20240829","1"
"1_月・水・金のみ運行","20240701","1"
"1_月・水・金のみ運行","20240703","1"
"1_月・水・金のみ運行","20240705","1"
"1_月・水・金のみ運行","20240708","1"
"1_月・水・金のみ運行","20240710","1"
"1_月・水・金のみ運行","20240712","1"
"1_月・水・金のみ運行","20240715","1"
"1_月・水・金のみ運行","20240717","1"
"1_月・水・金のみ運行","20240719","1"
"1_月・水・金のみ運行","20240722","1"
"1_月・水・金のみ運行","20240724","1"
"1_月・水・金のみ運行","20240726","1"
"1_月・水・金のみ運行","20240729","1"
"1_月・水・金のみ運行","20240731","1"
"1_月・水・金のみ運行","20240802","1"
"1_月・水・金のみ運行","20240805","1"
"1_月・水・金のみ運行","20240807","1"
"1_月・水・金のみ運行","20240809","1"
"1_月・水・金のみ運行","20240812","1"
"1_月・水・金のみ運行","20240814","1"
"1_月・水・金のみ運行","20240816","1"
"1_月・水・金のみ運行","20240819","1"
"1_月・水・金のみ運行","20240821","1"
"1_月・水・金のみ運行","20240823","1"
"1_月・水・金のみ運行","20240826","1"
"1_月・水・金のみ運行","20240828","1"
"1_月・水・金のみ運行","20240830","1"
"1_火・木・土のみ運行","20240702","1"
"1_火・木・土のみ運行","20240704","1"
"1_火・木・土のみ運行","20240706","1"
"1_火・木・土のみ運行","20240709","1"
"1_火・木・土のみ運行","20240711","1"
"1_火・木・土のみ運行","20240713","1"
"1_火・木・土のみ運行","20240716","1"
"1_火・木・土のみ運行","20240718","1"
"1_火・木・土のみ運行","20240720","1"
"1_火・木・土のみ運行","20240723","1"
"1_火・木・土のみ運行","20240725","1"
"1_火・木・土のみ運行","20240727","1"
"1_火・木・土のみ運行","20240730","1"
"1_火・木・土のみ運行","20240801","1"
"1_火・木・土のみ運行","20240803","1"
"1_火・木・土のみ運行","20240806","1"
"1_火・木・土のみ運行","20240808","1"
"1_火・木・土のみ運行","20240810","1"
"1_火・木・土のみ運行","20240813","1"
"1_火・木・土のみ運行","20240815","1"
"1_火・木・土のみ運行","20240817","1"
"1_火・木・土のみ運行","20240820","1"
"1_火・木・土のみ運行","20240822","1"
"1_火・木・土のみ運行","20240824","1"
"1_火・木・土のみ運行","20240827","1"
"1_火・木・土のみ運行","20240829","1"
"1_火・木・土のみ運行","20240831","1"
"3_平日","20240503","2"
"3_日祝","20240503","1"
"3_土曜","20240504","2"
"3_日祝","20240504","1"
"3_平日","20240506","2"
"3_日祝","20240506","1"
"3_平日","20240715","2"
"3_日祝","20240715","1"
"3_平日","20240812","2"
"3_日祝","20240812","1"
"3_平日","20240813","2"
"3_日祝","20240813","1"
"3_平日","20240814","2"
"3_日祝","20240814","1"
"3_平日","20240815","2"
"3_日祝","20240815","1"
"3_平日","20240916","2"
"3_日祝","20240916","1"
"3_平日","20240923","2"
"3_日祝","20240923","1"
"3_平日","20241014","2"
"3_日祝","20241014","1"
"3_平日","20241104","2"
"3_日祝","20241104","1"
"3_土曜","20241123","2"
"3_日祝","20241123","1"
"3_平日","20241230","2"
"3_土曜","20241230","2"
"3_日祝","20241230","2"
"3_年末・年始","20241230","1"
"3_平日","20241231","2"
"3_土曜","20241231","2"
"3_日祝","20241231","2"
"3_年末・年始","20241231","1"
"3_平日","20250101","2"
"3_土曜","20250101","2"
"3_日祝","20250101","2"
"3_年末・年始","20250101","1"
"3_平日","20250102","2"
"3_土曜","20250102","2"
"3_日祝","20250102","2"
"3_年末・年始","20250102","1"
"3_平日","20250103","2"
"3_土曜","20250103","2"
"3_日祝","20250103","2"
"3_年末・年始","20250103","1"
"3_平日","20250113","2"
"3_日祝","20250113","1"
"3_平日","20250211","2"
"3_日祝","20250211","1"
"3_平日","20250224","2"
"3_日祝","20250224","1"
"3_平日","20250320","2"
"3_日祝","20250320","1"
"3_平日","20250429","2"
"3_日祝","20250429","1"
"4_平日","20240401","2"
"4_土曜","20240401","2"
"4_日祝","20240401","2"
"4_特別ダイヤ１","20240401","1"
"4_平日","20240402","2"
"4_土曜","20240402","2"
"4_日祝","20240402","2"
"4_特別ダイヤ１","20240402","1"
"4_平日","20240403","2"
"4_土曜","20240403","2"
"4_日祝","20240403","2"
"4_特別ダイヤ１","20240403","1"
"4_平日","20240404","2"
"4_土曜","20240404","2"
"4_日祝","20240404","2"
"4_特別ダイヤ１","20240404","1"
"4_平日","20240405","2"
"4_土曜","20240405","2"
"4_日祝","20240405","2"
"4_特別ダイヤ１","20240405","1"
"4_平日","20240429","2"
"4_日祝","20240429","1"
"4_平日","20240503","2"
"4_日祝","20240503","1"
"4_土曜","20240504","2"
"4_日祝","20240504","1"
"4_平日","20240506","2"
"4_日祝","20240506","1"
"4_平日","20240715","2"
"4_日祝","20240715","1"
"4_平日","20240722","2"
"4_土曜","20240722","2"
"4_日祝","20240722","2"
"4_特別ダイヤ１","20240722","1"
"4_平日","20240723","2"
"4_土曜","20240723","2"
"4_日祝","20240723","2"
"4_特別ダイヤ１","20240723","1"
"4_平日","20240724","2"
"4_土曜","20240724","2"
"4_日祝","20240724","2"
"4_特別ダイヤ１","20240724","1"
"4_平日","20240725","2"
"4_土曜","20240725","2"
"4_日祝","20240725","2"
"4_特別ダイヤ１","20240725","1"
"4_平日","20240726","2"
"4_土曜","20240726","2"
"4_日祝","20240726","2"
"4_特別ダイヤ１","20240726","1"
"4_平日","20240729","2"
"4_土曜","20240729","2"
"4_日祝","20240729","2"
"4_特別ダイヤ１","20240729","1"
"4_平日","20240730","2"
"4_土曜","20240730","2"
"4_日祝","20240730","2"
"4_特別ダイヤ１","20240730","1"
"4_平日","20240731","2"
"4_土曜","20240731","2"
"4_日祝","20240731","2"
"4_特別ダイヤ１","20240731","1"
"4_平日","20240801","2"
"4_土曜","20240801","2"
"4_日祝","20240801","2"
